"Registro","CT","CTallo","CPF","CPFlor","CB","CBaya","CPT","CPTuber","CST","CSTuber","CPC","CPulpa","CSC","CSPulpa","CPB","CPBrote","CSB","CSBrote"
"15061688","3","144A","7","N82A","5","144A","7","187A","2","161A","2","160D","0",NA,"4","93A","1","NN155C"
"15062144","5","N77A","7","N82B","6","143B","8","N186C","1","160A","1","160D","7","N77B","4","93A","1","NN155D"
"15061689","7","200A","7","N81A","1","N144A","9","N186B","2","161B","2","160D","7","N77B","3","71A","1","NN155D"
"15061690","7","200A","7","N81A","1","144A","9","N186A","2","161B","3","160D","7","N77B","4","N92D","1","NN155A"
"15062145","4","N77A","7","N82A","5","144A","8","N186B","2","161A","3","160D","0",NA,"4","N92B","1","NN155D"
"15061704","3","144A","4","97A","6","N144B","7","187A","2","162A","2","155A","7","N77B","4","N92B","1","NN155A"
"15061705","3","143A","7","N82A","1","144B","2","165C","8","N186A","2","160D","0",NA,"4","N92C","0",NA
"15061706","1","144A","1","155A","1","144A","2","160C","0",NA,"2","160D","0",NA,"4","N87B","1","NN155D"
"15061707","4","N77A","7","90A","6","144A","8","186B","0",NA,"2","160D","0",NA,"4","N92D","1","NN155D"
"15062146","4","N77A","7","90B","4","145A","9","186A","0",NA,"4","160B","7","N79A","4","N92C","1","NN155D"
"15061709","2","144A","7","N81A","1","N144A","2","162A","6","181A","2","155A","0",NA,"3","71A","1","NN155B"
"15061710","4","N77A","7","N81B","4","N144A","9","N186A","0",NA,"4","160A","7","N79B","4","N92C","1","NN155D"
"15061712","3","144A","7","N82A","4","144A","8","N186B","2","160A","2","160D","0",NA,"3","N92D","1","NN155A"
"15062369","4","N77A","7","N88B","2","144A","6","183A","0",NA,"1","160D","0",NA,"3","N78B","1","NN155D"
"15061713","2","144A","7","N88D","2","146B","2","162A","8","N799B","2","162D","0",NA,"4","N92C","1","NN155A"
"15061714","4","N77A","7","86B","4","144A","6","157C","0",NA,"2","155A","0",NA,"3","72A","1","NN155D"
"15062147","3","144A","7","86A","2","N144A","6","181A","0",NA,"2","155A","0",NA,"3","72A","1","NN155D"
"15061717","4","N77A","7","92A","2","144A","8","N77A","1","177C","2","160D","0",NA,"4","N92B","1","NN155A"
"15061718","3","137C","7","91A",NA,NA,"8","N186B","2","161B","2","155A","0",NA,"4","88A","1","NN155D"
"15061964","2","144A","1","155A","5","144A","8","182B","1","162B","4","160D","0",NA,"4","N92C","1","NN155A"
"15061719","2","144A","1","155A","5","145A","8","183D","1","165D","3","160C","0",NA,"4","N92B","1","NN155D"
"15061720","3","137A","7","86B","2","143B","6","183C","0",NA,"2","160D","0",NA,"3","72B","1","NN155D"
"15062358","5","N77A","7","N82A","1","143B","8","N186B","1","162A","2","160D","0",NA,"4","N81A","1","NN155A"
"15061721","3","137D","7","N81B","1","N144A","6","178A","0",NA,"2","160D","0",NA,"4","77A","1","NN155D"
"15061722","1","144A","7","86C","5","N144A","7","187A","2","162C","2","155A","6","77A","4","N81B","1","NN155A"
"15061723","4","N77A","7","N82A","5","144B","6","184A","1","161B","2","160D","0",NA,"3","72B","1","NN155D"
"15061724","5","N77A","7","N82A","2","N144A","1","164D","8","N77D","2","160D","0",NA,"4","90C","1","NN155D"
"15062149","4","N77A","7","N82A","4","143A","6","183B","0",NA,"2","160D","0",NA,"3","72B","1","NN155D"
"15061725","4","N77A","7","N82A","4","144A","6","187C","0",NA,"2","155A","0",NA,"3","N78A","1","NN155D"
"15061726","5","N77A","7","N82A","1","144A","6","187C","0",NA,"4","160C","0",NA,"3","71B","1","NN155A"
"15061729","4","N77A","7","92A","4","144A","7","187B","2","161B","3","160D","0",NA,"4","N87B","1","NN155D"
"15061730","4","N77A","7","92A","4","146B","8","187A","1","162B","2","160D","0",NA,"4","83C","1","NN155D"
"15061731","4","N77A","7","N82B","1","144B","9","186B","1","161B","2","160D","0",NA,"3","N79C","0",NA
"15061733","2","144A","7","N81C","1","146B","3","164C","8","187A","3","160C","0",NA,"4","N88C","1","NN155D"
"15061734","4","N77A","7","N81A","4","144A","6","187C","0",NA,"2","155A","0",NA,"3","N78A","1","NN155D"
"15061735","1","144A","7","N82B","5","144C","1","161B","6","184B","1","155B","0",NA,"3","N78A","1","NN155A"
"15062150","5","N77A","7","N88B","2","144A","8","N186B","2","160A","3","155A","0",NA,"4","N92C","1","NN155A"
"15062151","7","200A","7","N88B","2","144A","9","186A","1","162A","2","160D","0",NA,"4","N92C","1","NN155A"
"15061736","5","N77A","7","N81C","4","143C","2","160A","8","187A","3","160C","0",NA,"4","N92B","1","NN155A"
"15061737","5","N77A","7","N82A","4","144A","2","162C","8","187A","2","160D","0",NA,"4","N87C","1","NN155D"
"15062152","5","N77A","7","N81A","1","144A","9","N187A","0",NA,"2","155A","0",NA,"4","87B","0",NA
"15061738","4","N77A","7","N82A","1","144A","8","N187A","2","161A","2","160D","0",NA,"3","72A","1","NN155A"
"15061740","4","N77A","7","90A","4","143B","9","N186B","0",NA,"2","155A","0",NA,"4","N92C","1","NN155A"
"15062153","2","144A","7","N82A","2","144B","8","183C","1","161B","2","155A","0",NA,"4","N82A","1","NN155A"
"15061742","1","144A","7","N81B","5","146D","2","161A","6","181A","2","155A","0",NA,"4","N92C","0",NA
"15061744","1","144A","8","90B","2","N144A","3","164B","5","184A","2","155A","0",NA,"4","90C","1","NN155D"
"15061965","2","144A","1","155A","5","144B","8","N77B","1","174C","2","160D","0",NA,"4","N92C","1","NN155A"
"15061747","2","144A","1","155A","5","144A","6","183D","1","161C","3","160C","0",NA,"4","N92D","0",NA
"15061751","3","143C","7","N88C","5","147B","5","183D","1","164C","2","155A","0",NA,"4","90C","1","NN155A"
"15061752","3","137B","7","N81B","4","144B","8","N79A","0",NA,"3","160C","0",NA,"4","N92C","1","NN155D"
"15061753","7","200A","7","N82B","1","144B","9","186B","1","162C","2","155A","7","N77B","3","N79C","1","NN155D"
"15061754","1","144A","7","N88C","1","N144A","2","162A","0",NA,"3","160D","0",NA,"2","N78C","1","NN155A"
"15061755","3","144A","7","85A","5","146B","8","N186C","0",NA,"3","160C","0",NA,"4","N92D","1","NN155D"
"15061756","3","137C","7","N88C","6","144A","8","N186C","0",NA,"3","160C","0",NA,"4","90A","1","NN155D"
"15061757","4","N77A","7","N87B","4","143B","6","187B","9","N186A","3","160C","0",NA,"4","N92C","0",NA
"15061758","2","144A","8","86A","4","N144A","8","187A","0",NA,"2","160C","0",NA,"4","90A","1","NN155D"
"15061759","3","144A","7","N88A","4","N144A","2","163C","8","N186C","3","160C","0",NA,"4","90A","1","NN155D"
"15061760","4","N77A","7","N82C","2","144B","7","183D","1","165D","3","160C","0",NA,"4","90D","1","NN155D"
"15061761","2","144A","1","155A","1","144A","8","166B","1","N170D","3","160C","0",NA,"4","N92C","0",NA
"15061762","5","N77A","8","N89A","2","146B","8","N186C","2","161B","2","160D","0",NA,"4","N92C","1","NN155D"
"15061763","5","N77A","7","N87C","4","143A","6","N79A","8","186A","3","160C","0",NA,"4","N92C","1","NN155D"
"15061764","3","144A","8","83A","5","144B","1","161A","8","N186C","3","160C","0",NA,"4","N92C","1","NN155D"
"15061765","3","144A","1","155A","5","144B","8","N186B","0",NA,"2","160D","7","N79B","4","N92C","1","NN155A"
"15061766","2","144A","7","N88A","2","144B","2","162A","6","184A","3","160D","0",NA,"4","N92C","0",NA
"15061767","2","144A","7","92B","1","N144A","8","N187A","3","176B","2","160C","0",NA,"4","N92C","1","NN155A"
"15061768","3","144A","7","N82A","2","144B","7","183D","1","161B","2","155A","0",NA,"4","94A","1","NN155D"
"15061769","3","144A","7","N80C","","144A","6","187C","0",NA,"2","155A","6","184B","3","N78A","1","NN155D"
"15061771","5","N77A","7","N82A","5","N144A","9","N186B","1","161B","2","160D","7","N79A","4","90A","1","NN155A"
"15061772","2","144A","7","91A",NA,NA,"9","N186A","1","161A","3","160D","0",NA,"4","N92C","1","NN155D"
"15061773","5","N77A","7","N87D","4","144A","6","187B","0",NA,"3","160D","7","N79B","4","N92C","1","NN155D"
"15061966","5","N77A","7","N88B","4","144A","9","N186A","2","162B","1","160D","0",NA,"4","N92C","1","NN155D"
"15061776","1","144A","6","92A","2","144A","2","162A","5","182B","1","155A","0",NA,"4","N92D","1","NN155D"
"15061777","5","N77A","7","N82A","2","N144A","6","187A","2","161B","3","160C","0",NA,"4","N92C","1","NN155D"
"15061778","7","200A","7","N82A","5","144A","9","N186B","1","162B","2","160A","7","N79B","4","N82A","1","NN155D"
"15061784","5","N77A","7","N81A","1","144A","9","N186A","2","161B","2","160D","0",NA,"4","N92C","1","NN155D"
"15061785","2","144A","7","N88D","4","143A","2","161A","5","182B","2","155A","0",NA,"4","N82A","1","NN155D"
"15062359","2","144A","7","N88D","4","144A","2","162A","6","173A","2","160D","0",NA,"4","N92D","1","NN155A"
"15062370","3","144A","7","N88B","1","144A","8","N186A","1","161A","3","160C","7","N79A","4","N92C","1","NN155A"
"15061788","3","144A","7","90B","6","144A","8","N77A","6","N79B","2","155A","0",NA,"4","N92C","0",NA
"15061967","4","N77A","7","84A","2","144A","8","187A","1","162B","1","155A","7","N79B","4","N92C","1","NN155D"
"15061789","2","144A","7","N80C",NA,NA,"2","162B","5","174B","2","155A","0",NA,"4","N80B","1","NN155A"
"15061790","2","144A","7","N81C","2","144B","1","161A","5","183B","2","155A","0",NA,"4","N81A","1","NN155A"
"15061968","1","144A","7","86C","2","146A","7","187A","2","162B","2","160D","0",NA,"4","N92B","1","NN155D"
"15061795","4","N77A","7","N82A","4","146B","9","N187A","0",NA,"4","160B","7","N79A","4","N92D","1","NN155D"
"15061797","4","N77A","6","N82B","5","144A","2","161A","8","N186C","3","160D","0",NA,"1","NN155A","4","N82A"
"15061798","2","144A","7","92A","2","143A","8","183A","1","160N","2","155A","0",NA,"4","92B","1","NN155D"
"15061799","5","N77A","7","N81B","4","146B","6","187C","8","N186A","2","160D","0",NA,"4","N92C","0",NA
"15061800","1","144A","7","90C","1","144A","2","160A","8","N79A","2","155A","0",NA,"4","N92D","1","NN155A"
"15062360","2","144A","7","92B","1","146A","2","162B","6","176A","2","155A","0",NA,"4","N87B","1","NN155A"
"15062361","3","144A","7","N82A","1","143B","6","187B","0",NA,"3","160C","0",NA,"4","N92D","0",NA
"15061801","2","144A","7","92C","1","144B","6","182B","1","160A","2","155A","0",NA,"3","71A","1","NN155A"
"15062371","3","144A","7","N82A",NA,NA,"1","161A","8","183D","2","155A","0",NA,"4","83B","1","NN155D"
"15061969","2","144A","7","91B","1","146A","1","162B","5","182B","2","155A","0",NA,"4","N92D","1","NN155A"
"15061808","2","144A","7","N81C","5","144B","2","162C","5","182B","2","157A","0",NA,"3","71A","1","NN155A"
"15061811","2","144A","7","N88B",NA,NA,"8","N77A","2","162C","2","160D","0",NA,"4","N92D","1","NN155A"
"15062362","1","144A","8","86B","5","144A","2","162A","0",NA,"2","160D","0",NA,"4","90B","1","NN155A"
"15061813","1","144A","7","N82A",NA,NA,"2","160A","5","182A","2","160D","0",NA,"4","N87C","1","NN155A"
"15061814","4","N77A","7","N82A","1","144A","8","187B","1","160A","2","155A","0",NA,"4","N87B","1","NN155A"
"15061815","1","144A","7","N88C","1","144B","8","183A","1","161C","2","160D","0",NA,"4","N88B","1","NN155D"
"15062372","3","144A","7","92B","5","144A","8","N77A","2","161A","3","160C","0",NA,"4","N92B","1","NN155D"
"15061826","2","144A","7","N82C","6","144A","8","183B","2","162A","1","155C","0",NA,"3","71A","1","NN155A"
"15062373","1","144A","7","N81B","2","144A","6","176A","2","161A","2","160D","0",NA,"3","71A","1","NN155A"
"15062031","2","144A","7","N81B","4","144B","6","184A","2","162C","2","160D","0",NA,"3","71B","1","NN155A"
"15061893","2","144A","7","N81B",NA,NA,"6","184A","2","162B","2","160C","0",NA,"4","90D","1","NN155A"
"15061894","2","144A","7","N81C","2","144A","6","176D","1","164C","3","160C","0",NA,"3","N78B","1","NN155D"
"15061247","3","144A","7","N87B","5","146B","8","183D","1","162C","2","155A","0",NA,"4","N88B","1","NN155D"
